Date,Start Time,End Time,Genre,Tempo,Energy,Danceability,Valence
2024-10-01,2024-10-01 00:00:00,2024-10-01 00:26:00,Electronic,155.32,0.98,0.38,0.83
2024-10-01,2024-10-01 00:34:00,2024-10-01 00:49:00,Classical,151.07,0.86,0.33,0.53
2024-10-01,2024-10-01 00:55:00,2024-10-01 01:14:00,Electronic,123.42,0.88,0.22,0.25
2024-10-01,2024-10-01 01:15:00,2024-10-01 01:25:00,Techno,144.25,0.11,0.71,0.11
2024-10-01,2024-10-01 01:34:00,2024-10-01 01:56:00,Phonk,156.02,0.52,0.9,0.78
2024-10-01,2024-10-01 02:02:00,2024-10-01 02:07:00,Electronic,138.41,0.1,0.74,0.77
2024-10-01,2024-10-01 02:17:00,2024-10-01 02:46:00,Hip-Hop,136.57,0.96,0.83,0.65
2024-10-01,2024-10-01 02:50:00,2024-10-01 03:19:00,Hip-Hop,69.52,0.6,0.16,0.2
2024-10-01,2024-10-01 03:21:00,2024-10-01 03:48:00,Electronic,84.84,0.43,0.87,0.47
2024-10-01,2024-10-01 03:51:00,2024-10-01 04:16:00,Techno,88.13,0.88,0.47,0.27
2024-10-01,2024-10-01 04:22:00,2024-10-01 04:28:00,Rock,143.87,0.16,0.43,0.67
2024-10-01,2024-10-01 04:33:00,2024-10-01 04:48:00,Pop,112.73,0.27,0.18,0.96
2024-10-01,2024-10-01 04:55:00,2024-10-01 05:14:00,Classical,119.21,0.94,0.64,0.21
2024-10-01,2024-10-01 05:16:00,2024-10-01 05:25:00,Phonk,146.74,0.97,0.56,0.78
2024-10-01,2024-10-01 05:34:00,2024-10-01 05:45:00,Techno,64.94,0.97,0.59,0.56
2024-10-01,2024-10-01 05:52:00,2024-10-01 06:15:00,Hip-Hop,105.59,0.99,0.73,0.35
2024-10-01,2024-10-01 06:16:00,2024-10-01 06:22:00,Techno,167.84,0.84,0.63,0.2
2024-10-01,2024-10-01 06:28:00,2024-10-01 06:38:00,Rock,123.31,0.27,0.44,0.15
2024-10-01,2024-10-01 06:42:00,2024-10-01 06:49:00,R&B,90.96,0.13,0.71,0.99
2024-10-01,2024-10-01 06:50:00,2024-10-01 07:15:00,Hip-Hop,70.55,0.5,0.44,1.0
2024-10-01,2024-10-01 07:18:00,2024-10-01 07:48:00,Classical,142.86,0.45,0.71,0.33
2024-10-01,2024-10-01 07:57:00,2024-10-01 08:10:00,Techno,175.82,0.16,0.95,0.35
2024-10-01,2024-10-01 08:18:00,2024-10-01 08:33:00,R&B,120.66,0.52,0.96,0.54
2024-10-01,2024-10-01 08:38:00,2024-10-01 08:48:00,R&B,146.22,0.71,0.9,0.28
2024-10-01,2024-10-01 08:55:00,2024-10-01 09:18:00,Rock,115.79,0.34,0.24,0.38
2024-10-01,2024-10-01 09:26:00,2024-10-01 09:48:00,Electronic,96.51,0.4,0.6,0.31
2024-10-01,2024-10-01 09:54:00,2024-10-01 10:07:00,Electronic,61.87,0.12,0.48,0.95
2024-10-01,2024-10-01 10:08:00,2024-10-01 10:37:00,Rock,106.36,0.14,0.88,0.9
2024-10-01,2024-10-01 10:38:00,2024-10-01 11:07:00,Pop,156.91,0.26,0.21,0.47
2024-10-01,2024-10-01 11:14:00,2024-10-01 11:19:00,Techno,62.2,0.95,0.44,0.91
2024-10-01,2024-10-01 11:27:00,2024-10-01 11:45:00,Phonk,130.79,0.16,0.54,0.22
2024-10-01,2024-10-01 11:46:00,2024-10-01 12:13:00,Classical,163.32,0.32,0.17,0.86
2024-10-01,2024-10-01 12:16:00,2024-10-01 12:21:00,Pop,89.56,0.46,0.78,0.75
2024-10-01,2024-10-01 12:22:00,2024-10-01 12:27:00,R&B,175.95,0.78,0.38,0.24
2024-10-01,2024-10-01 12:35:00,2024-10-01 12:53:00,Hip-Hop,170.21,0.76,0.62,0.3
2024-10-01,2024-10-01 13:00:00,2024-10-01 13:28:00,Rock,80.59,0.38,0.62,0.68
2024-10-01,2024-10-01 13:33:00,2024-10-01 13:50:00,Rock,68.28,0.83,0.39,0.12
2024-10-01,2024-10-01 14:00:00,2024-10-01 14:11:00,Rock,152.26,0.5,0.19,0.47
2024-10-01,2024-10-01 14:20:00,2024-10-01 14:28:00,Hip-Hop,83.46,0.43,0.21,0.33
