"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Pull","27 Ara 2024, 15:41","27 Ara 2024, 16:16","","Barfiks",,"",0,"normal",,7,,,
"Pull","27 Ara 2024, 15:41","27 Ara 2024, 16:16","","Barfiks",,"",1,"normal",,8,,,
"Pull","27 Ara 2024, 15:41","27 Ara 2024, 16:16","","Barfiks",,"",2,"normal",,6,,,
"Pull","27 Ara 2024, 15:41","27 Ara 2024, 16:16","","Barfiks",,"",3,"normal",,4,,,
"Pull","27 Ara 2024, 15:41","27 Ara 2024, 16:16","","Bicep Curl (Dambıl)",,"",0,"normal",18,6,,,
"Pull","27 Ara 2024, 15:41","27 Ara 2024, 16:16","","Bicep Curl (Dambıl)",,"",1,"normal",18,6,,,
"Pull","27 Ara 2024, 15:41","27 Ara 2024, 16:16","","Hammer Curl (Dambıl)",,"",0,"normal",20,7,,,
"Pull","27 Ara 2024, 15:41","27 Ara 2024, 16:16","","Hammer Curl (Dambıl)",,"",1,"normal",20,7,,,
"Göğüs","26 Ara 2024, 12:37","26 Ara 2024, 13:20","","Incline Bench Press (Dambıl)",,"",0,"normal",36,7,,,
"Göğüs","26 Ara 2024, 12:37","26 Ara 2024, 13:20","","Incline Bench Press (Dambıl)",,"",1,"normal",34,6,,,
"Göğüs","26 Ara 2024, 12:37","26 Ara 2024, 13:20","","Chest Press (Makine)",,"",0,"normal",75,8,,,
"Göğüs","26 Ara 2024, 12:37","26 Ara 2024, 13:20","","Chest Press (Makine)",,"",1,"normal",75,9,,,
"Göğüs","26 Ara 2024, 12:37","26 Ara 2024, 13:20","","Butterfly (Pec Deck)",,"",0,"normal",45,12,,,
"Göğüs","26 Ara 2024, 12:37","26 Ara 2024, 13:20","","Butterfly (Pec Deck)",,"",1,"normal",45,11,,,
"Göğüs","26 Ara 2024, 12:37","26 Ara 2024, 13:20","","Butterfly (Pec Deck)",,"",2,"normal",45,12,,,
"Göğüs","26 Ara 2024, 12:37","26 Ara 2024, 13:20","","Triceps Pushdown",,"",0,"normal",25,12,,,
"Göğüs","26 Ara 2024, 12:37","26 Ara 2024, 13:20","","Triceps Pushdown",,"",1,"normal",25,12,,,
"Göğüs","26 Ara 2024, 12:37","26 Ara 2024, 13:20","","Triceps Pushdown",,"",2,"normal",25,11,,,
"Omuz/Karın","24 Ara 2024, 14:06","24 Ara 2024, 14:41","","Overhead Press (Smith Machine)",,"",0,"normal",30,7,,,
"Omuz/Karın","24 Ara 2024, 14:06","24 Ara 2024, 14:41","","Overhead Press (Smith Machine)",,"",1,"normal",30,7,,,
"Omuz/Karın","24 Ara 2024, 14:06","24 Ara 2024, 14:41","","Overhead Press (Smith Machine)",,"",2,"normal",30,9,,,
"Omuz/Karın","24 Ara 2024, 14:06","24 Ara 2024, 14:41","","Lateral Raise (Dambıl)",,"",0,"normal",10,12,,,
"Omuz/Karın","24 Ara 2024, 14:06","24 Ara 2024, 14:41","","Lateral Raise (Dambıl)",,"",1,"normal",12.5,12,,,
